id,topic_category,sub_category,source_dataset,region,cultural_topic,user_message,ai_response,model,word_count_response,selected,epistemic_positioning,pragmatic_appropriateness,ethical_handling,factual_accuracy,conversational_quality,overall_score,annotator_notes
me_011,medical,symptoms,MedQuAD,,,What are the symptoms of Hepatitis B: What Asian and Pacific Islander Americans Need to Know ?,"Hepatitis B is called a silent killer because many people have no symptoms, so the disease often progresses unnoticed for years. Unfortunately, many people first learn they have chronic hepatitis B when they develop symptoms of severe liver damage, which include
 
- yellowish eyes and skin, called jaundice - a swollen stomach or ankles - tiredness - nausea - weakness - loss of appetite - weight loss - spiderlike blood vessels, called spider angiomas, that develop on the skin",human_expert,79,,,,,,,,
me_012,medical,symptoms,MedQuAD,,,What are the symptoms of What I need to know about My Child's Urinary Tract Infection ?,"A child with a UTI may not have any symptoms. When symptoms are present, they can range from mild to severe. UTI symptoms can include
 
- fever - pain or burning during urination with only a few drops of urine at a time - irritability - not eating - nausea - diarrhea - vomiting - cloudy, dark, bloody, or foul-smelling urine - urinating often - pain in the back or side below the ribs - leaking urine into clothes or bedding in older children",human_expert,84,,,,,,,,
me_013,medical,treatment,MedQuAD,,,What are the treatments for What I need to know about My Child's Urinary Tract Infection ?,"Bacteria-fighting medicines called antibiotics are used to treat a UTI. While the lab is doing the urine culture, the health care provider may begin treatment with an antibiotic that treats the bacteria most likely to be causing the infection. Once culture results are known, the health care provider may switch your child to a different antibiotic that targets the specific type of bacteria.
 
Your child will need to take antibiotics for at least 3 to 5 days and maybe as long as several weeks. Be sure your child takes every pill or every dose of liquid. Your child should feel better after a couple of days, but the infection might come back if your child stops taking the antibiotic too early.
 
You should let your child drink as much as your child wants. But dont force your child to drink large amounts of fluid. Call your childs health care provider if your child doesnt want to or isnt able to drink. Also, talk with your childs health care provider if your child needs medicine for the pain of a UTI. The health care provider can recommend an over-the-counter pain medicine. A heating pad on the back or abdomen may also help.",human_expert,201,,,,,,,,
me_014,medical,prevention,MedQuAD,,,How to prevent What I need to know about My Child's Urinary Tract Infection ?,"You can take the following steps to help prevent your child from getting a UTI:
 
- Teach your child not to hold in urine and to go to the bathroom whenever your child feels the urge. - Teach your child how to properly clean himself or herself after using the bathroom to keep bacteria from entering the urinary tract. - Have your child wear loose-fitting clothes. Tight clothes can trap moisture, which allows bacteria to grow. - Buy your child cotton underwear. Cotton lets in air to dry the area. - If your child has constipation, talk with a health care provider about the best treatment options.",human_expert,107,,,,,,,,
me_015,medical,treatment,MedQuAD,,,What are the treatments for National Hormone and Pituitary Program (NHPP): Information for People Treated with Pituitary Human Growth Hormone (Comprehensive Report) ?,"Before scientists learned how to make synthetic hormones, many animal hormones, such as insulin, were used to treat human disorders. Growth hormone from animals did not work in humans. Human growth hormone (pituitary hGH) was therefore made from human pituitary glands by the National Hormone and Pituitary Program (NHPP), funded by the U.S. Department of Health and Human Services (HHS). From 1963 to 1985, the NHPP sent pituitary hGH to hundreds of doctors across the country. As a part of research studies, doctors used the hormone to treat nearly 7,700 children for failure to grow.
 
In 1985, the HHS learned that three young men treated with pituitary hGH died of Creutzfeldt-Jakob disease (CJD), a rare and incurable brain disease. The HHS believed these illnesses were related to pituitary hGH. The HHS immediately stopped the distribution of the hormone and began a national study to learn more about how pituitary hGH treatment may have caused this problem. The HHS continues to monitor individuals who received pituitary hGH through the NHPP for CJD.",human_expert,171,,,,,,,,
me_016,medical,symptoms,MedQuAD,,,What are the symptoms of National Hormone and Pituitary Program (NHPP): Information for People Treated with Pituitary Human Growth Hormone (Comprehensive Report) ?,"CJD does not cause the same symptoms in everyone. In most people who got CJD from pituitary hGH, the first signs they noticed were difficulty with walking and balance, dizziness, and/or clumsiness. Later, some began to slur words and have jerky movements. They also had trouble seeing, remembering, and/or thinking clearly. The disease becomes worse very quickly. When individuals have symptoms like these over a long period of time (such as a year) without getting much worse, they do not have CJD. Occasional forgetfulness, clumsiness, or headaches do not mean one has CJD. You should discuss concerns with your doctor if you are not sure.
 
CJD is a rare disease. Most cases of CJD are not linked to pituitary hGH. When CJD is not linked to pituitary hGH, the first symptoms are usually mental changes such as confusion, problems thinking clearly, memory loss, behavior changes, and dementia. Though symptoms may differ, there are similar changes in the brain tissue of all patients with CJD.",human_expert,164,,,,,,,,
me_017,medical,causes,MedQuAD,,,What causes National Hormone and Pituitary Program (NHPP): Information for People Treated with Pituitary Human Growth Hormone (Comprehensive Report) ?,"We have not found any particular preparation of pituitary hGH that is especially likely to carry CJD. We believe that CJD did not come from a single infected pituitary gland or preparation. Prior to 1977, in an effort to extract as much hormone as possible from the pituitary glands, the glands were often processed repeatedly. Hormone extracted from the same pituitaries was often included in many hormone preparations. Also, patients who got CJD were treated on average for 8.4 years and received many different hormone preparations. This makes it very difficult to identify any preparation associated with transmitting CJD.
 
Doctors wanted to see if a specific preparation of pituitary hGH could transmit CJD. To try to find the pituitary hGH that could have caused CJD, HHS researchers did two things:
 
1. They set up a test in animals, injecting samples of all available preparations of pituitary hGH directly into the brains of monkeys. CJD develops more rapidly if injected into the brain than under the skin, as hGH was used in people. The animals were watched for 10 years. The brains of all animals were examined for signs of CJD. If an animal got sick with CJD, it would help researchers to understand which vials of pituitary hGH were contaminated with the agent that causes CJD.
 
2. They studied people treated with pituitary hGH to see who got CJD and which hormone preparation they might have received based on which preparations were sent to their doctor.
 
Results:
 
- The animal tests did not help find the pituitary hGH that might have caused CJD. One animal developed the disease 5 years after injection of pituitary hGH. Two other animals that received injections from different vials of the same pituitary hGH preparation did not develop CJD. - None of the people who developed CJD are known to have received the hormone preparation that made the animal sick. At most, two patients (whose records are incomplete) may have received this pituitary hGH preparation. Because of this, we do not believe that the patients who received the hormone preparation that transmitted CJD to the animal have a greater risk of developing CJD than others treated with pituitary hGH. Because each preparation of pituitary hGH was used to fill multiple vials, it is not known if CJD contamination was spread evenly among all vials of pituitary hGH that came from a particular preparation. It's possible that one vial got more contamination and another got little or none from the same preparation of pituitary hGH. It is believed that multiple preparations of pituitary hGH probably had very low levels of the CJD infectious agent. With such low levels of contamination, some vials of a preparation might carry CJD while other vials would not. Further, most of the people who got CJD received pituitary hGH for long periods of time and received many different preparations.",human_expert,478,,,,,,,,
me_018,medical,symptoms,MedQuAD,,,What are the symptoms of Prevent diabetes problems: Keep your heart and blood vessels healthy ?,"You may have one or more of the following warning signs:
 
- chest pain or discomfort - pain or discomfort in your arms, back, jaw, or neck - indigestion or stomach pain - shortness of breath - sweating - nausea - light-headedness
 
Or, you may have no warning signs at all. Warning signs may come and go. If you have any of these warning signs, call 911 right away. Getting prompt treatment can reduce damage to the heart.",human_expert,78,,,,,,,,
me_019,medical,treatment,MedQuAD,,,What are the treatments for What I need to know about Bladder Control for Women ?,"Your doctor will likely offer several treatment choices. Some treatments are as simple as changing some daily habits. Other treatments require taking medicine or using a device. If nothing else seems to work, surgery may help a woman with stress incontinence regain her bladder control.
 
Talk with your doctor about which treatments might work best for you.
 
Pelvic Muscle Strengthening
 
Many women prefer to try the simplest treatment choices first. Kegel exercises strengthen the pelvic muscles and don't require any equipment. Once you learn how to ""Kegel,"" you can Kegel anywhere. The trick is finding the right muscles to squeeze. Your doctor or nurse can help make sure you are squeezing the right muscles. Your doctor may refer you to a specially trained physical therapist who will teach you to find and strengthen the sphincter muscles. Learning when to squeeze these muscles can also help stop the bladder spasms that cause urge incontinence. After about 6 to 8 weeks, you should notice that you have fewer leaks and more bladder control. Use the pelvic muscle exercise log included with the Kegel Exercise Tips sheet (Item C) to keep track of your progress.
 
Changing Habits
 
Timed voiding. By keeping track of the times you leak urine, you may notice certain times of day when you are most likely to have an accident. You can use that information to make planned trips to the bathroom ahead of time to avoid the accident. Once you have established a safe pattern, you can build your bladder control by stretching out the time between trips to the bathroom. By forcing your pelvic muscles to hold on longer, you make those muscles stronger.
 
Diet changes. You may notice that certain foods and drinks cause you to urinate more often. You may find that avoiding caffeinated drinks like coffee, tea, or cola helps your bladder control. You can choose the decaf version of your favorite drink. Make sure you are not drinking too much fluid because that will cause you to make a large amount of urine. If you are bothered by nighttime urination, drink most of your fluids during the day and limit your drinking after dinner. You should not, however, avoid drinking fluids for fear of having an accident. Some foods may irritate your bladder and cause urgency. Talk with your doctor about diet changes that might affect your bladder.
 
Weight loss. Extra body weight puts extra pressure on your bladder. By losing weight, you may be able to relieve some of that pressure and regain your bladder control.
 
Medicines
 
No medications are approved to treat stress urinary incontinence. But if you have an overactive bladder, your doctor may prescribe a medicine that can calm muscles and nerves. Medicines for overactive bladder come as pills, liquid, or a patch.
 
Medicines to treat overactive bladder can cause your eyes to become dry. These medicines can also cause dry mouth and constipation. If you take medicine to treat an overactive bladder, you may need to take steps to deal with the side effects.
 
- Use eye drops to keep your eyes moist. - Chew gum or suck on hard candy if dry mouth bothers you. Make it sugarless gum or candy to avoid tooth decay. - Take small sips of water throughout the day.
 
Medicines for other conditions also can affect the nerves and muscles of the urinary tract in different ways. Pills to treat swelling-edema-or high blood pressure may increase urine output and contribute to bladder control problems.
 
Talk with your doctor; you may find that taking a different medicine solves the problem without adding another prescription. The list of Medicines for Bladder Control (Item D) will give you more information about specific medicines.
 
Pessaries
 
A pessary is a plastic ring, similar to a contraceptive diaphragm, that is worn in the vagina. It will help support the walls of the vagina, lifting the bladder and nearby urethra, leading to less stress leakage. A doctor or nurse can fit you with the best shape and size pessary for you and teach you how to care for it. Many women use a pessary only during exercise while others wear their pessary all day to reduce stress leakage. If you use a pessary, you should see your doctor regularly to check for small scrapes in the vagina that can result from using the device.
 
Nerve Stimulation
 
Electrical stimulation of the nerves that control the bladder can improve symptoms of urgency, frequency, and urge incontinence, as well as bladder emptying problems, in some people. This treatment is usually offered to patients who cannot tolerate or do not benefit from medications. At first, your doctor will use a device outside your body to deliver stimulation through a wire implanted under your skin to see if the treatment relieves your symptoms. If the temporary treatment works well for you, you may be able to have a permanent device implanted that delivers stimulation to the nerves in your back, much like a pacemaker. The electrodes in the permanent device are placed in your lower back through a minor surgical procedure. You may need to return to the doctor for adjustments to find the right setting that controls your bladder symptoms.
 
Surgery
 
Doctors may suggest surgery to improve bladder control if other treatments have failed. Surgery helps only stress incontinence. It won't work for urge incontinence. Many surgical options have high rates of success.
 
Most stress incontinence problems are caused by the bladder neck dropping toward the vagina. To correct this problem, the surgeon raises the bladder neck or urethra and supports it with a ribbon-like sling or web of strings attached to a muscle or bone. The sling holds up the bottom of the bladder and the top of the urethra to stop leakage.
 
Catheterization
 
If your bladder does not empty well as a result of nerve damage, you might leak urine. This condition is called overflow incontinence. You might use a catheter to empty your bladder. A catheter is a thin tube you can learn to insert through the urethra into the bladder to drain urine. You may use a catheter once in a while, a few times a day, or all of the time. If you use the catheter all the time, it will drain urine from your bladder into a bag you can hang from your leg. If you use a catheter all the time, you should watch for possible infections.",human_expert,1071,,,,,,,,
me_020,medical,causes,MedQuAD,,,What causes What I need to know about Kidney Failure and How Its Treated ?,"Diabetes and high blood pressure are the most common causes of kidney failure. Other factors include heart and blood vessel disease and a family history of kidney failure. African Americans, Hispanics/Latinos, and American Indians are more likely to have kidney failure.",human_expert,41,,,,,,,,
me_021,medical,treatment,MedQuAD,,,What are the treatments for What I need to know about Kidney Failure and How Its Treated ?,"Conservative management means your doctors take care of you without dialysis or a transplant. The doctors may give you medicines that make you feel more comfortable. You can have conservative management in your home. You may want to go to a hospice, a special place where you receive nursing care. Some people choose conservative management when dialysis or a transplant would not help them live longer or would make them suffer longer. Without dialysis or a transplant, you may live for a few weeks or several months.",human_expert,87,,,,,,,,
me_022,medical,prevention,MedQuAD,,,How to prevent Am I at Risk for Type 2 Diabetes? Taking Steps to Lower Your Risk of Getting Diabetes ?,"Yes. The results of the Diabetes Prevention Program (DPP) proved that weight loss through moderate diet changes and physical activity can delay or prevent type 2 diabetes. The DPP was a federally funded study of 3,234 people at high risk for diabetes. This study showed that a 5-to 7-percent weight loss, which for a 200-pound person would be 10 to 14 pounds, slowed development of type 2 diabetes.
 
People at High Risk for Diabetes
 
DPP study participants were overweight and had higher than normal levels of blood glucose, a condition called prediabetes. Many had family members with type 2 diabetes. Prediabetes, obesity, and a family history of diabetes are strong risk factors for type 2 diabetes. About half of the DPP participants were from minority groups with high rates of diabetes, including African Americans, Alaska Natives, American Indians, Asian Americans, Hispanics/Latinos, and Pacific Islander Americans.
 
DPP participants also included others at high risk for developing type 2 diabetes, such as women with a history of gestational diabetes and people age 60 and older.
 
Approaches to Preventing Diabetes
 
The DPP tested three approaches to preventing diabetes:
 
- Making lifestyle changes. People in the lifestyle change group exercised, usually by walking 5 days a week for about 30 minutes a day, and lowered their intake of fat and calories. - Taking the diabetes medicine metformin. Those who took metformin also received information about physical activity and diet. - Receiving education about diabetes. The third group only received information about physical activity and diet and took a placeboa pill without medicine in it.
 
People in the lifestyle change group showed the best outcomes. But people who took metformin also benefited. The results showed that by losing an average of 15 pounds in the first year of the study, people in the lifestyle change group reduced their risk of developing type 2 diabetes by 58 percent over 3 years. Lifestyle change was even more effective in those age 60 and older. People in this group reduced their risk by 71 percent. But people in the metformin group also benefited, reducing their risk by 31 percent. More information about the DPP, funded under National Institutes of Health (NIH) clinical trial number NCT00004992, is available at www.bsc.gwu.edu/dpp.
 
Lasting Results
 
The Diabetes Prevention Program Outcomes Study (DPPOS) has shown that the benefits of weight loss and metformin last for at least 10 years. The DPPOS has continued to follow most DPP participants since the DPP ended in 2001. The DPPOS showed that 10 years after enrolling in the DPP,
 
- people in the lifestyle change group reduced their risk for developing diabetes by 34 percent - those in the lifestyle change group age 60 or older had even greater benefit, reducing their risk of developing diabetes by 49 percent - participants in the lifestyle change group also had fewer heart and blood vessel disease risk factors, including lower blood pressure and triglyceride levels, even though they took fewer medicines to control their heart disease risk - the metformin group reduced the risk of developing diabetes by 18 percent
 
Even though controlling your weight with lifestyle changes is challenging, it produces long-term health rewards by lowering your risk for type 2 diabetes, lowering your blood glucose levels, and reducing other heart disease risk factors. More information about the DPPOS, funded under NIH clinical trial number NCT00038727, can be found at www.bsc.gwu.edu/dpp.
 

 
Other Types of Diabetes In addition to type 2, the other main types of diabetes are type 1 diabetes and gestational diabetes. Type 1 Diabetes Type 1 diabetes, formerly called juvenile diabetes, is usually first diagnosed in children, teenagers, and young adults. In this type of diabetes, your pancreas can no longer make insulin because your bodys immune system has attacked and destroyed the cells that make it. Treatment for type 1 diabetes includes taking insulin shots or using an insulin pump, making wise food choices, being physically active on a regular basis, controlling blood pressure and cholesterol, and, for some, taking aspirin daily. Gestational Diabetes Gestational diabetes is a type of diabetes that develops only during pregnancy. Hormones produced by your placenta and other pregnancy-related factors contribute to insulin resistance, which occurs in all women during late pregnancy. Insulin resistance increases the amount of insulin needed to control blood glucose levels. If your pancreas cant produce enough insulin, gestational diabetes occurs. As with type 2 diabetes, excess weight is linked to gestational diabetes. Overweight or obese women are at particularly high risk for gestational diabetes because they start pregnancy with a higher need for insulin due to insulin resistance. Excessive weight gain during pregnancy may also increase risk. Gestational diabetes occurs more often in some ethnic groups and among women with a family history of diabetes. Although gestational diabetes usually goes away after the baby is born, a woman who has had gestational diabetes is more likely to develop type 2 diabetes later in life. Babies born to mothers who had gestational diabetes are also more likely to develop obesity and type 2 diabetes as they grow up.",human_expert,842,,,,,,,,
me_023,medical,symptoms,MedQuAD,,,What are the symptoms of Am I at Risk for Type 2 Diabetes? Taking Steps to Lower Your Risk of Getting Diabetes ?,"The signs and symptoms of type 2 diabetes can be so mild that you might not even notice them. Nearly 7 million people in the United States have type 2 diabetes and dont know they have the disease. Many have no signs or symptoms. Some people have symptoms but do not suspect diabetes.
 
Symptoms include
 
- increased thirst - increased hunger - fatigue - increased urination, especially at night - unexplained weight loss - blurred vision - numbness or tingling in the feet or hands - sores that do not heal
 
Many people do not find out they have the disease until they have diabetes problems, such as blurred vision or heart trouble. If you find out early that you have diabetes, you can get treatment to prevent damage to your body.",human_expert,132,,,,,,,,
